ChID CopyNo HVBundleID HVCableID SignalCableID SiPMNo FECID FECChID
1 275 8 16 513 2771 4 39
0 276 8 20 301 2772 4 40
1 276 8 20 301 2772 4 41
0 277 8 5 1554 2773 4 42
1 277 8 5 1554 2773 4 43
0 278 40 24 845 2774 4 44
1 278 40 24 845 2774 4 45
0 279 40 11 846 2775 4 46
1 279 40 11 846 2775 4 47
0 280 40 18 892 2776 4 48
1 280 40 18 892 2776 4 49
0 281 40 3 869 2777 4 50
1 281 40 3 869 2777 4 51
0 282 40 29 898 2778 4 52
1 282 40 29 898 2778 4 53
0 283 40 10 890 2779 4 54
1 283 40 10 890 2779 4 55
0 284 40 13 891 2780 4 56
1 284 40 13 891 2780 4 57
0 285 40 19 1790 2313 4 58
1 285 40 19 1790 2313 4 59
0 286 40 20 1779 1111 4 60
1 286 40 20 1779 1111 4 61
0 287 40 5 1783 2208 4 62
1 287 40 5 1783 2208 4 63
0 288 41 8 1581 2207 4 64
1 288 41 8 1581 2207 4 65
0 289 41 17 333 2206 4 66
1 289 41 17 333 2206 4 67
0 290 41 12 311 589 4 68
1 290 41 12 311 589 4 69
0 291 41 20 511 2202 4 70
1 291 41 20 511 2202 4 71
0 292 41 15 1600 2203 4 72
1 292 41 15 1600 2203 4 73
0 293 41 26 1586 2210 4 74
1 293 41 26 1586 2210 4 75
0 294 41 30 1558 2209 4 76
1 294 41 30 1558 2209 4 77
0 295 41 1 546 4872 4 78
1 295 41 1 546 4872 4 79
0 296 41 6 536 4243 4 80
1 296 41 6 536 4243 4 81
0 297 41 19 1584 4250 4 82
1 297 41 19 1584 4250 4 83
0 298 41 32 1596 979 4 84
1 298 41 32 1596 979 4 85
0 299 42 15 1594 4241 4 86
1 299 42 15 1594 4241 4 87
0 300 42 1 509 4242 4 88
1 300 42 1 509 4242 4 89
0 301 42 6 1566 4246 4 90
1 301 42 6 1566 4246 4 91
0 302 42 3 334 4249 4 92
1 302 42 3 334 4249 4 93
0 303 42 18 514 4955 4 94
1 303 42 18 514 4955 4 95
0 304 42 23 535 4957 4 96
1 304 42 23 535 4957 4 97
0 305 42 9 1569 4953 4 98
1 305 42 9 1569 4953 4 99
0 306 42 25 337 4541 4 100
1 306 42 25 337 4541 4 101
0 307 42 7 306 4542 4 102
1 307 42 7 306 4542 4 103
0 308 6 16 321 4543 4 104
1 308 6 16 321 4543 4 105
0 309 6 14 1565 4544 4 106
1 309 6 14 1565 4544 4 107
0 310 6 19 322 4549 4 108
1 310 6 19 322 4549 4 109
0 311 6 18 550 4548 4 110
1 311 6 18 550 4548 4 111
0 312 6 4 330 4550 4 112
1 312 6 4 330 4550 4 113
0 313 6 3 1552 4714 4 114
1 313 6 3 1552 4714 4 115
0 314 6 2 545 4715 4 116
1 314 6 2 545 4715 4 117
0 315 6 1 525 4546 4 118
1 315 6 1 525 4546 4 119
0 316 6 10 324 4713 4 120
1 316 6 10 324 4713 4 121
0 317 6 26 304 4682 4 122
1 317 6 26 304 4682 4 123
0 318 6 8 305 4690 4 124
1 318 6 8 305 4690 4 125
0 319 7 2 960 4685 4 126
1 319 7 2 960 4685 4 127
0 320 7 11 1921 4711 5 0
1 320 7 11 1921 4711 5 1
0 321 7 17 1265 4684 5 2
1 321 7 17 1265 4684 5 3
0 322 7 7 1920 4688 5 4
1 322 7 7 1920 4688 5 5
0 323 7 9 1260 4687 5 6
1 323 7 9 1260 4687 5 7
0 324 7 8 2091 4683 5 8
1 324 7 8 2091 4683 5 9
0 325 7 16 1950 4689 5 10
1 325 7 16 1950 4689 5 11
0 326 7 14 2089 4570 5 12
1 326 7 14 2089 4570 5 13
0 327 7 24 2087 4563 5 14
1 327 7 24 2087 4563 5 15
0 328 7 25 2095 4561 5 16
1 328 7 25 2095 4561 5 17
0 329 7 4 2062 194 5 18
1 329 7 4 2062 194 5 19
0 330 8 31 506 4566 5 20
1 330 8 31 506 4566 5 21
0 331 8 23 319 4564 5 22
1 331 8 23 319 4564 5 23
0 332 8 24 502 4567 5 24
1 332 8 24 502 4567 5 25
0 333 8 25 1869 4569 5 26
1 333 8 25 1869 4569 5 27
0 334 8 27 1567 5016 5 28
1 334 8 27 1567 5016 5 29
0 335 8 29 1556 4562 5 30
1 335 8 29 1556 4562 5 31
0 336 8 32 527 4778 5 32
1 336 8 32 527 4778 5 33
0 337 8 26 544 196 5 34
1 337 8 26 544 196 5 35
0 338 8 9 503 4775 5 36
1 338 8 9 503 4775 5 37
0 339 8 7 309 4776 5 38
1 339 8 7 309 4776 5 39
0 340 40 6 931 4774 5 40
1 340 40 6 931 4774 5 41
0 341 40 25 1602 4773 5 42
1 341 40 25 1602 4773 5 43
0 342 40 31 1784 197 5 44
1 342 40 31 1784 197 5 45
0 343 40 21 1756 195 5 46
1 343 40 21 1756 195 5 47
0 344 40 7 1782 199 5 48
1 344 40 7 1782 199 5 49
0 345 40 23 855 4771 5 50
1 345 40 23 855 4771 5 51
0 346 40 12 887 4313 5 52
1 346 40 12 887 4313 5 53
0 347 40 4 871 4828 5 54
1 347 40 4 871 4828 5 55
0 348 40 28 922 4826 5 56
1 348 40 28 922 4826 5 57
0 349 40 2 886 4827 5 58
1 349 40 2 886 4827 5 59
0 350 40 9 847 3754 5 60
1 350 40 9 847 3754 5 61
0 351 41 10 510 3757 5 62
1 351 41 10 510 3757 5 63
0 352 41 21 343 4824 5 64
1 352 41 21 343 4824 5 65
0 353 41 31 1592 4823 5 66
1 353 41 31 1592 4823 5 67
0 354 41 24 314 4830 5 68
1 354 41 24 314 4830 5 69
0 355 41 28 523 4716 5 70
1 355 41 28 523 4716 5 71
0 356 41 25 1572 4655 5 72
1 356 41 25 1572 4655 5 73
0 357 41 18 339 3366 5 74
1 357 41 18 339 3366 5 75
0 358 41 29 1593 3365 5 76
1 358 41 29 1593 3365 5 77
0 359 41 23 894 3252 5 78
1 359 41 23 894 3252 5 79
0 360 42 31 750 3251 5 80
1 360 42 31 750 3251 5 81
0 361 42 30 734 3255 5 82
1 361 42 30 734 3255 5 83
0 362 42 32 703 3254 5 84
1 362 42 32 703 3254 5 85
0 363 42 8 740 3253 5 86
1 363 42 8 740 3253 5 87
0 364 42 28 611 1965 5 88
