Sheel N/S,Layer,Layer inner no,SiPM no,Inner Sig,HV B no,HV I no,θ,φ,copy no,FEB type,LV M no,LV I no,FEC,FEC ch,HV Unit,HV Unit ch,tag,FEC,HV,chid
N,5,35,97,2021,21,9,75.909,111.273,1483,N,307,3,14,95,42,48,1,14-95,42-48,2967
N,5,33,110,2024,21,7,75.909,104.727,1481,N,307,1,14,96,42,52,1,14-96,42-52,2962
N,5,33,110,2024,21,7,75.909,104.727,1481,N,307,1,14,97,42,52,1,14-97,42-52,2963
N,3,32,3978,1410,28,18,82.175,98.7611,1702,N,433,4,14,98,43,30,1,14-98,43-30,3404
N,3,32,3978,1410,28,18,82.175,98.7611,1702,N,433,4,14,99,43,30,1,14-99,43-30,3405
S,2,30,5329,1067,73,26,94.694,91.5789,2155,N,506,2,14,100,46,78,1,14-100,46-78,4310
S,2,30,5329,1067,73,26,94.694,91.5789,2155,N,506,2,14,101,46,78,1,14-101,46-78,4311
S,1,33,1200,703,73,31,91.565,101.053,2044,N,152,1,14,102,46,68,1,14-102,46-68,4088
S,1,33,1200,703,73,31,91.565,101.053,2044,N,152,1,14,103,46,68,1,14-103,46-68,4089
S,2,31,5075,1054,73,19,94.694,94.7368,2156,N,506,3,14,104,46,92,1,14-104,46-92,4312
S,2,31,5075,1054,73,19,94.694,94.7368,2156,N,506,3,14,105,46,92,1,14-105,46-92,4313
S,4,31,497,1384,73,15,100.957,96.4286,2383,N,445,3,14,106,46,100,1,14-106,46-100,4766
S,4,31,497,1384,73,15,100.957,96.4286,2383,N,445,3,14,107,46,100,1,14-107,46-100,4767
N,12,28,1650,345,15,2,53.937,106.813,774,N,140,4,14,108,35,62,1,14-108,35-62,1548
N,12,28,1650,345,15,2,53.937,106.813,774,N,140,4,14,109,35,62,1,14-109,35-62,1549
N,9,32,3438,236,15,5,63.362,110.495,1061,N,76,4,14,110,35,56,1,14-110,35-56,2122
N,9,32,3438,236,15,5,63.362,110.495,1061,N,76,4,14,111,35,56,1,14-111,35-56,2123
N,8,30,3496,831,21,5,66.501,100.385,1160,N,145,2,14,112,42,56,1,14-112,42-56,2320
N,8,30,3496,831,21,5,66.501,100.385,1160,N,145,2,14,113,42,56,1,14-113,42-56,2321
N,7,31,3533,805,21,28,69.638,101.887,1265,N,260,3,14,114,42,10,1,14-114,42-10,2530
N,7,31,3533,805,21,28,69.638,101.887,1265,N,260,3,14,115,42,10,1,14-115,42-10,2531
N,7,32,3534,756,21,3,69.638,105.283,1266,N,260,4,14,116,42,60,1,14-116,42-60,2532
N,7,32,3534,756,21,3,69.638,105.283,1266,N,260,4,14,117,42,60,1,14-117,42-60,2533
N,10,31,4994,961,15,21,60.222,110.204,962,N,28,3,14,118,35,24,1,14-118,35-24,1924
N,10,31,4994,961,15,21,60.222,110.204,962,N,28,3,14,119,35,24,1,14-119,35-24,1925
S,3,33,4224,706,73,11,97.825,101.947,2272,N,293,1,14,120,46,108,1,14-120,46-108,4544
S,3,33,4224,706,73,11,97.825,101.947,2272,N,293,1,14,121,46,108,1,14-121,46-108,4545
S,3,32,4222,723,73,22,97.825,98.7611,2271,N,324,4,14,122,46,86,1,14-122,46-86,4542
S,3,32,4222,723,73,22,97.825,98.7611,2271,N,324,4,14,123,46,86,1,14-123,46-86,4543
N,7,30,4275,762,21,1,69.638,98.4906,1264,N,260,2,14,124,42,64,1,14-124,42-64,2528
N,7,30,4275,762,21,1,69.638,98.4906,1264,N,260,2,14,125,42,64,1,14-125,42-64,2529
N,9,30,1273,589,15,8,63.362,103.366,1059,N,76,2,14,126,35,50,1,14-126,35-50,2118
N,9,30,1273,589,15,8,63.362,103.366,1059,N,76,2,14,127,35,50,1,14-127,35-50,2119
N,1,50,1260,1428,30,19,88.435,154.737,1947,N,217,2,15,0,40,92,1,15-0,40-92,3894
N,1,50,1260,1428,30,19,88.435,154.737,1947,N,217,2,15,1,40,92,1,15-1,40-92,3895
S,1,48,475,1831,71,25,91.565,148.421,2059,N,436,4,15,2,31,16,1,15-2,31-16,4118
S,1,48,475,1831,71,25,91.565,148.421,2059,N,436,4,15,3,31,16,1,15-3,31-16,4119
S,2,48,5107,1078,71,12,94.694,148.421,2173,N,323,4,15,4,31,42,1,15-4,31-42,4346
S,2,48,5107,1078,71,12,94.694,148.421,2173,N,323,4,15,5,31,42,1,15-5,31-42,4347
N,1,48,1258,81,30,24,88.435,148.421,1945,N,426,4,15,6,40,82,1,15-6,40-82,3890
N,1,48,1258,81,30,24,88.435,148.421,1945,N,426,4,15,7,40,82,1,15-7,40-82,3891
S,9,36,5364,1712,85,4,116.638,124.752,2928,N,422,4,15,8,39,121,1,15-8,39-121,5856
